Products NOT Updated via Excel Import
Generated: 2025-10-06 10:27:27
============================================================

SUMMARY:
Total PricingData records: 2454
Updated via Excel: 2311
NOT updated via Excel: 143
Percentage not updated: 5.8%

UNIQUE PARTS NOT UPDATED:
Total unique part numbers: 135
Total duplicate records: 8

Part Number          Description                              Current Price   Stock Available
------------------------------------------------------------------------------------------
C00000601-A133       CLIP-ROOF HEADLINING TRIM PANEL          0.71            Nil            
C00005812            WEIGHT BALANCE                           0.46            Nil            
C00005814            WEIGHT BALANCE                           0.87            Nil            
C00005815            WEIGHT BALANCE                           0.87            Nil            
C00005816            WEIGHT BALANCE                           0.87            Nil            
C00005817            WEIGHT BALANCE                           0.87            Nil            
C00005818            WEIGHT BALANCE                           0.87            Nil            
C00005819            WEIGHT BALANCE                           1.34            Nil            
C00005820            WEIGHT BALANCE                           1.34            Nil            
C00005821            WEIGHT BALANCE                           1.34            Nil            
C00005822            WEIGHT BALANCE                           1.34            Nil            
C00005823            WEIGHT BALANCE                           0.87            Nil            
C00005824            WEIGHT BALANCE                           0.87            Nil            
C00005825            WEIGHT BALANCE                           0.87            Nil            
C00005826            WEIGHT BALANCE                           1.34            Nil            
C00005827            WEIGHT BALANCE                           1.34            Nil            
C00005829            WEIGHT BALANCE                           1.80            Nil            
C00005830            WEIGHT BALANCE                           2.26            Nil            
C00005831            WEIGHT BALANCE                           2.26            Nil            
C00005935            WEIGHT BALANCE                           0.46            Nil            
C00013593            BULB-FRONT FOG                           16.69           Nil            
C00015967            WEIGHT BALANCE                           2.26            Nil            
C00015968            WEIGHT BALANCE                           2.73            Nil            
C00015981            WEIGHT BALANCE                           1.34            Nil            
C00015982            WEIGHT BALANCE                           1.34            Nil            
C00037326            SPACER-BEARING                           251.87          Nil            
C00042678            CLIP-VACUUM PIPE                         3.55            Nil            
C00056425            CLIP-FRONT BRAKE PIPE                    0.59            Nil            
C00072843            ADBLUE                                   15.80           Nil            
C00073043-bla        CON-ROD BEARING UPPER SHELL(RED)         6.82            10             
C00073043-blu        CON-ROD BEARING UPPER SHELL(RED)         6.82            10+            
C00073043-gre        CON-ROD BEARING UPPER SHELL(RED)         6.82            1              
C00073044-bla        CON-ROD BEARING UNDER SHELL(RED)         1.52            6              
C00073044-blu        CON-ROD BEARING UNDER SHELL(RED)         1.52            10+            
C00073044-gre        CON-ROD BEARING UNDER SHELL(RED)         1.52            Nil            
C00073045-bla        BEARING-CRANKSHAFT UPPER                 1.94            Nil            
C00073045-blu        BEARING-CRANKSHAFT UPPER                 1.94            Nil            
C00073045-gre        BEARING-CRANKSHAFT UPPER                 1.94            Nil            
C00073046-bla        BEARING-CRANKSHAFT LOWER                 1.68            Nil            
C00073046-blu        BEARING-CRANKSHAFT LOWER                 1.68            Nil            
C00073046-gre        BEARING-CRANKSHAFT LOWER                 1.68            Nil            
C00074545            BRACKET-ENGINE LEFT HAND FRONT MOUN...   27.34           Nil            
C00075684            PIPE-FRONT BRAKE                         12.74           Nil            
C00076123-A007       HEIGHT ADJUSTOR ASSEMBLY-FRONT SEAT...   23.60           Nil            
C00077218-A133       BRACKE-SUNSHADE SUPPORT                  1.54            Nil            
C00077262            BALL BEARING-MASS BALANCING SHAFT        10.03           Nil            
C00078379-F050       CAP-FRONT SIDE DOOR TRIM PANEL BOLT      0.59            Nil            
C00080566            HEATSHIELD-TURBOCHARGER                  17.49           Nil            
C00080744            BRACKET-TURBOCHARGER                     8.95            Nil            
C00083490            OIL-ENGINE                               20.65           Nil            
C00084385            HEAT SHIELD-ENGINE EXHAUST               11.48           Nil            
C00084952            BRACKET-DRIVE SHAFT REAR                 13.19           Nil            
C00085341            WHEEL                                    191.72          Nil            
C00085566            INSULATION-DASH PANEL INSULATION(CO...   99.10           Nil            
C00085567            INSULATION-DASH PANEL INSULATION(DV...   99.10           Nil            
C00085967            DUCT-DRIVER FOOT                         10.10           Nil            
C00097277            PIPE-COMPRESSOR INLET                    23.60           Nil            
C00102212            BRACKET-BODY CONTROL MODULE              0.47            Nil            
C00102252            BRACKET-CLUTCH PIPE TO BD                1.60            Nil            
C00103428            OIL-REAR AXLE ASSEMBLY                   20.20           Nil            
C00103546            SLEEVE-WIPER MOTOR                       12.74           Nil            
C00110318            CLIP-CONSOLE PLATE ASSEMBLY LOWER        1.24            Nil            
C00110325            CLIP-INSTRUMENT PANEL SHINING STRIP...   1.24            Nil            
C00112280-F014       COVER-FRONT SEAT BELT D LOOP GUIDE       1.66            Nil            
C00128220            HEAT SHIELD-ENGINE EXHAUST               11.21           Nil            
C00128471            HOUSING ASSEMBLY-REDUCER                 166.42          Unknown        
C00128487            COVER-DIFFERENTIAL                       138.93          Nil            
C00137544            SHELD-ENGINE RIGHT HAND FRONT MOUNT...   7.01            Nil            
C00143480            PIPE-WINDSHIELD COVER PANEL OUTLET       4.74            Nil            
C00143482            PIPE-WINDSHIELD COVER PANEL OUTLET       4.74            Nil            
C00144867-A133       BARRIER-ROOF RESERVE                     79.85           Nil            
C00146573            CLIP-VACUUM PIPE                         2.19            Nil            
C00154341            BRACKET-PUR COVER TO ENGINE              1.95            Nil            
C00180866            CRANKSHAFT ASSEMBLY                      500.16          Nil            
C00184468            CYLINDER BLOCK MACHINED ASSEMBLY         1,571.02        Nil            
C00185735            PIPE-LITTLE CIRCLE WATER                 36.40           Nil            
C00191301-4100       SECTION-FRONT ROOF CROSS MEMBER OUT...   133.60          Nil            
C00193380            SCREW-STOP LAMP                          1.54            Nil            
C00207343            ANAEROBIC ADHESIVE-ENGINE                319.37          Nil            
C00211114            BOLT-WIPER MOTOR ASSEMBLY                1.48            Nil            
C00212072            NUT-WIPER MOTOR ASSEMBLY                 1.48            Nil            
C00213625            BRACKET-INTERCOOLER MOUNT                161.83          Nil            
C00218298            HOSE-RESERVOIR TO CLUTCH MASTER CYL...   16.85           Nil            
C00218303            CLUTCH MASTER CYLINDER RESERVOIR TO...   1.78            Nil            
C00220657            MOTOR-FRONT FRESH SERVO                  27.79           Nil            
C00220660            MOTOR-FRONT MODE SERVO                   29.67           Nil            
C00220664            PLATE-AIR CONDITIONING FILTER COVER      4.38            Nil            
C00221439            SEALANT-ENGINE                           126.24          Nil            
C00229774            BRACKET-PUR COVER TO ENGINE              2.66            Nil            
C00325156            BOLT/SCREW-DIFFERENTIAL HOUSING          54.13           Nil            
C00334164            FUSE-PFB FUSE BOX                        No price        Nil            
C00334166            FUSE-PFB FUSE BOX                        No price        Nil            
C00348029            CAMSHAFT-INTAKE                          133.79          Nil            
C00349765-A136       PLATE ASSEMBLY-A/PILLAR UPPER TRIM       23.70           Nil            
C00423609            PINION-DIFFERENTIAL                      32.62           2              
C00429557            COMPONENTS-REAR HOUSING                  139.01          Nil            
C00446282            IDLER PULLEY GATES-ACCESSORY BELT        No price        Nil            
C00469711            CAMSHAFT COVER                           24.90           10             
C00471078            OIL-ENGINE                               116.17          4              
C00471087            OIL-ENGINE                               116.17          4              
C00472602            PLUG-FUEL FITTING                        57.55           2              
C00473445            AXLE SHAFT                               67.11           Nil            
C00521629            REFRIGERANT-AIR CONDITIONING             29.05           Nil            
C00532115            CASING ASSEMBLY-REAR AXLE                1,930.89        Nil            
C00539863            OIL-ENGINE                               577.35          5              
C00539866            OIL-ENGINE                               577.35          5              
C00539867            OIL-ENGINE                               577.35          5              
C00543551-bla        CON-ROD BEARING UPPER SHELL(RED)         13.35           10             
C00543551-blu        CON-ROD BEARING UPPER SHELL(RED)         13.35           10             
C00543551-gre        CON-ROD BEARING UPPER SHELL(RED)         13.35           10             
C00559196            BOLT-DRIVE GEAR                          11.48           4              
C00559199            BOLT-WHEEL                               11.48           4              
C00559202            BOLT-AXLE SHAFT                          11.48           4              
C00559204            BOLT-MAIN REDUCER ASSEMBLY TO AXLE ...   11.48           4              
C00559206            LOCK-NUT PINION                          11.48           4              
C00563731            PLUG-OUTLET OIL                          621.19          2              
C00570065            HIGH PRESSURE FUEL LINE-INJECTOR         30.20           8              
C00585980            HOSE ASSEMBLY-FUEL RETURN                42.35           Nil            
C00587973            PLUG-FUEL FITTING                        5.14            2              
C00637484            BELT TENSIONER GATES-ENGINE              13.35           5              
C00638735            HOUSING ASSEMBLY-REDUCER                 40.50           1              
C00638736            COVER-DIFFERENTIAL                       40.50           1              
C00642739            PUMP-HIGH PRESSURE                       1,991.42        1              
