Part Number          Description                              Current Price   Stock Available
------------------------------------------------------------------------------------------
B00004107            BOLT/SCREW-SLIDING SIDE DOOR FLOOR ...   0.20            Nil            
B00004764            BOLT/SCREW-REAR DOOR FLOOR FINISHER      0.20            Nil            
B00004858            BOLT-SLIDING DOOR UPPER HINGE            0.30            Nil            
B00004859            BOLT-SLIDING DOOR MID HINGE              0.53            Nil            
B90000877            PLUG-AERATE                              0.87            Nil            
B90001169            NUT-MAIN REDUCER ASSEMBLY TO AXLE H...   0.26            Nil            
C00000601-A133       CLIP-ROOF HEADLINING TRIM PANEL          0.71            Nil            
C00001726            RUBBER SHACKLE-FRAME TO EXH(HT)          21.09           Nil            
C00003208            HANDLE & CABLE-FRONT SINGLE PASSENG...   44.17           Nil            
C00003209            HANDLE & CABLE-DRIVER SEAT UNLOCK        44.17           Nil            
C00005812            WEIGHT BALANCE                           0.46            Nil            
C00005814            WEIGHT BALANCE                           0.87            Nil            
C00005815            WEIGHT BALANCE                           0.87            Nil            
C00005816            WEIGHT BALANCE                           0.87            Nil            
C00005817            WEIGHT BALANCE                           0.87            Nil            
C00005818            WEIGHT BALANCE                           0.87            Nil            
C00005819            WEIGHT BALANCE                           1.34            Nil            
C00005820            WEIGHT BALANCE                           1.34            Nil            
C00005821            WEIGHT BALANCE                           1.34            Nil            
C00005822            WEIGHT BALANCE                           1.34            Nil            
C00005823            WEIGHT BALANCE                           0.87            Nil            
C00005824            WEIGHT BALANCE                           0.87            Nil            
C00005825            WEIGHT BALANCE                           0.87            Nil            
C00005826            WEIGHT BALANCE                           1.34            Nil            
C00005827            WEIGHT BALANCE                           1.34            Nil            
C00005829            WEIGHT BALANCE                           1.80            Nil            
C00005830            WEIGHT BALANCE                           2.26            Nil            
C00005831            WEIGHT BALANCE                           2.26            Nil            
C00005935            WEIGHT BALANCE                           0.46            Nil            
C00013585            BULB-REAR ROOF INNER READING LAMP        2.01            Nil            
C00013586            SHIELD-REAR ROOF INNER READING LAMP      2.66            Nil            
C00013593            BULB-FRONT FOG                           16.69           Nil            
C00015967            WEIGHT BALANCE                           2.26            Nil            
C00015968            WEIGHT BALANCE                           2.73            Nil            
C00015981            WEIGHT BALANCE                           1.34            Nil            
C00015982            WEIGHT BALANCE                           1.34            Nil            
C00017192-F001       ADHESIVE-DRY SEALING                     65.10           Nil            
C00017616            WEIGHT BALANCE                           0.51            Nil            
C00017617            WEIGHT BALANCE                           1.08            Nil            
C00017618            WEIGHT BALANCE                           1.08            Nil            
C00017619            WEIGHT BALANCE                           1.08            Nil            
C00017620            WEIGHT BALANCE                           1.08            Nil            
C00017621            WEIGHT BALANCE                           1.08            Nil            
C00017622            WEIGHT BALANCE                           1.60            Nil            
C00017623            WEIGHT BALANCE                           1.60            Nil            
C00017624            WEIGHT BALANCE                           1.60            Nil            
