Products with Zero (£0.00) or No Price
Generated: 2025-10-06 11:46:36
================================================================================

SUMMARY:
Total Parts in database: 5824
Total PricingData records: 5339
Products with £0.00 price: 0
Products with NULL/missing price: 0
Parts with no pricing data: 485
Total problematic records: 485
Unique problematic parts: 309
Duplicate records: 176

PARTS WITH NO PRICING DATA - 309 parts:
Part Number          Description                                       
----------------------------------------------------------------------
C00000601-A133       CLIP-ROOF HEADLINING TRIM PANEL                   
C00001726            RUBBER SHACKLE-FRAME TO EXH(HT)                   
C00005812            WEIGHT BALANCE                                    
C00005814            WEIGHT BALANCE                                    
C00005815            WEIGHT BALANCE                                    
C00005816            WEIGHT BALANCE                                    
C00005817            WEIGHT BALANCE                                    
C00005818            WEIGHT BALANCE                                    
C00005819            WEIGHT BALANCE                                    
C00005820            WEIGHT BALANCE                                    
C00005821            WEIGHT BALANCE                                    
C00005822            WEIGHT BALANCE                                    
C00005823            WEIGHT BALANCE                                    
C00005824            WEIGHT BALANCE                                    
C00005825            WEIGHT BALANCE                                    
C00005826            WEIGHT BALANCE                                    
C00005827            WEIGHT BALANCE                                    
C00005829            WEIGHT BALANCE                                    
C00005830            WEIGHT BALANCE                                    
C00005831            WEIGHT BALANCE                                    
C00005935            WEIGHT BALANCE                                    
C00013593            BULB-FRONT FOG                                    
C00015967            WEIGHT BALANCE                                    
C00015968            WEIGHT BALANCE                                    
C00015981            WEIGHT BALANCE                                    
C00015982            WEIGHT BALANCE                                    
C00022606            REFRIGERANT-AIR CONDITIONING                      
C00025833            CLIP-FRONT BRAKE PIPE                             
C00027222-4100       PANEL-REAR SIDE PANEL UPPER OUTER                 
C00037326            SPACER-BEARING                                    
C00042678            CLIP-VACUUM PIPE                                  
C00056425            CLIP-FRONT BRAKE PIPE                             
C00066424-4100       PANEL-REAR SIDE PANEL OUTER                       
C00072270-B          ROD ASSEMBLY-CONNECTOR                            
C00072270-C          ROD ASSEMBLY-CONNECTOR                            
C00072270-D          ROD ASSEMBLY-CONNECTOR                            
C00072270-E          ROD ASSEMBLY-CONNECTOR                            
